9/13/2019 2:51:12 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 2:51:12 PM - Please wait ..fetching policy list from database
9/13/2019 2:51:12 PM - Policy list found from database, count: 1
9/13/2019 3:58:36 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Processing starts for  _DateRangeForMissingLst
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count > 0
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue closed with ID : 4bb398c4-ae45-43f3-b42a-8384631e63a4, category: 2
9/13/2019 3:58:56 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 3:58:57 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 3:58:57 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 3:58:57 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 3:58:57 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
